id,job_title,location,salary_currency,career_level,experience_level,education_level,employment_type,job_function,job_benefits,company_process_time,company_size,company_industry,job_description,salary
291,Tax Associate,Jakarta Selatan,IDR,Supervisor/Koordinator,4 tahun,Sarjana (S1),Penuh Waktu,"Akuntansi / Keuangan,Audit & Pajak","Tip;Waktu regular, Senin - Jumat;Kasual (contoh: Kaos)",21 days,2001 - 5000 pekerja,Retail/Merchandise,"Requirements:Minimum bachelor degree in Accounting/Fiscal Administration from a reputable universityHaving experience in Big 4 / consulting firm minimum 4 yearsExcellent knowledge of local tax regulationHaving the certification of Brevet A/B/C or USKP is advantageousAble to do the reconciliation between Accounting and VAT/WHT/CITHaving good work ethics, good analytical skills & pro-active in a demanding situationAn excellent team player, and respectful to othersJob description:Handle reconciliation VAT vs revenueHandle reconciliation WHT vs expensePrepare annual CIT calculation and prepare the reportPrepare monthly tax compliance (WHT & VAT, from reconciliation, payment to tax return, including collection & preparation of Form DGT -1/DGT-2, if it is required)Supporting & giving advisory to other departments related to taxationIdentify & mitigate tax risks on daily transactions/projectsUpdate on the local tax regulation & international tax that relatedPrepare annual tax report & tax queries in collaboration with tax consultant/tax managerPrepare data for Tax Audit & any other litigationsMaintaining relationship with Tax OfficeAble to use the Accounting System (Oracle) for tax purposes",
292,Sales Merchant Malang,Malang,IDR,Pegawai (non-manajemen & non-supervisor),2 tahun,"SMA, SMU/SMK/STM",Penuh Waktu,"Penjualan / Pemasaran,Penjualan Ritel","Asuransi Gigi;Tip;Asuransi kesehatan;Penglihatan;Waktu regular, Senin - Jumat;Kasual (contoh: Kaos);Transport & Telecommunication",25 days,51 - 200 pekerja,Komputer/Teknik Informatika (Perangkat Lunak),"Uraian Pekerjaan :Melakukan proses akuisisi terhadap pemilik toko grosir/agen FMCG/warung.Melakukan kunjungan dan menjalin hubungan bisnis dengan pemilik toko grosir/agen FMCG di tradisional market.Mencapai target penjualan dan target akuisisi yang sudah ditentukan oleh Perusahaan.Memasarkan produk lending & non lending perusahaan.Mengedukasi terkait manfaat produk, program, promo, ketentuan & mekanisme produk lending & non lending perusahaan.Kriteria :Pendidikan minimal SMAPengalaman 2 tahun sebagai Salesman dari industri distributor FMCG/SME BankingMampu bekerja berdasarkan target salesMemiliki kemampuan komunikasi dan persuasif yang baikMemiliki kendaraan motor pribadi dan SIM C yang masih aktif, serta mengenal area Malang dan sekitarnyaPenempatan di Malang",
293,SQA Automation,Jakarta Raya,IDR,Pegawai (non-manajemen & non-supervisor),1 tahun,Tidak terspesifikasi,Penuh Waktu,"Komputer/Teknologi Informasi,IT-Perangkat Lunak","Asuransi Gigi;Asuransi kesehatan;Waktu regular, Senin - Jumat;Kasual (contoh: Kaos)",26 days,201 - 500 pekerja,Komputer/Teknik Informatika (Perangkat Lunak),"Develop test plans / mind map, test scripts, test dataReview user requirements documents to ensure that requirements are testableReview & Upload test script to TestLinkValidate that user expectations are achieved during the testing process (checking on UI and checking the Data Base)Follow up the findings defect to the developer, and retest after developer fixed itFollow up the testing problem to the Scrum Master, Product Owner and whole teamCreate UAT Invitation EmailAccompany Business User in UATFollow up UAT findings defect or changes to Scrum Master, Product Owner and whole teamCreate UAT Sign Off DocumentEnsure Migration Plan Document is complete and appropriate.Send “Ready to Migration” email to the release management team when the sprint is Ready to Release to ProductionCreate Automation UI and API Testing Script using KatalonCreate Automation UI Summary ReportEnsure Automation UI testing can be run in VM (trigger via Jenkins)About Us : Monster Group has embedded innovative technologies in and enabled companies to reimagine their businesses, processes, and experiences. We have expanded our business amongst our three business segments such as Telco Service Provider, HR Services, and IT Solution. Each customer journey is unique, we are here to seize business opportunities and solve real, tangible challenges in technology.Overseas Office : -16192 Coastal Highway Lewes, Sussex County Delaware 19958, USA- 81 Ubi Ave 4 #01-05 UB. One Singapore 408830",
294,Operator Mesin Extruder (Plastic),Tangerang,IDR,Supervisor/Koordinator,4 tahun,Tidak terspesifikasi,Kontrak,"Manufaktur,Manufaktur",,28 days,201 - 500 pekerja,Polymer/Plastik/Karet/Ban,"Suka belajar dengan hal baru ? Ingin mengembangkan karir ? Dan suka mengoprasikan mesin dengan teknologi canggih?Bergabunglah bersama PT. Camiloplas Jaya Makmur. hanya Jika anda adalah orang yang kami cari dengan menjadi “Operator Extruder“Memiliki semangat belajar yang tinggiMampu mengikuti prosuder yang ditetapkanMampu bekerja dibawah tekananPT. Camiloplas Jaya Makmur adalah perusahaan manufacturing packaging plastic berskala International yang sudah dipercaya hampir 20 tahun oleh banyak perusahaan dan saat ini kami merupakan pabrik terbesar di Indonesia dalam bidang Produksi Plastik Rigid Packaging.PT. Camiloplas Jaya Makmur sudah memiliki sertifikasi National dan International yang dipercaya oleh konsumen dalam dan luar negeri sebagai supplier utama untuk packaging plastic. Kami memiliki visi untuk terus menjadi No. 1 dan terus melebarkan sayap bersama Superteam yang siap membangun perusahaan semakin lebih baik.Tugas PekerjaanMampu mengoprasikan mesin extruder (PP & PET)Memastikan pembuatan produk sesuai dengan standard yang ditetapkan.Mampu mengontrol proses produksiMampu memenuhi tingkat kuantitas dan kualitas produksi sesuai target yang ditetapkanMelaksanakan kebijakan/program K3 di area kerjaDapat bekerja sesuai dengan SOP & IK yang telah ditentukanKualifikasiMemiliki pengetahuan terkait dengan mesin plastikMemiliki penglaman minimal 2 tahun sebagai operator dibidang Packaging PlastikJujur, Bertanggung jawab, dan DisiplinMempunyai leadership yang baik",
295,GRAPHIC DESIGNER,Cikarang,IDR,Pegawai (non-manajemen & non-supervisor),1 tahun,"SMA, SMU/SMK/STM",Penuh Waktu,"Seni/Media/Komunikasi,Seni / Desain Kreatif",Bisnis (contoh: Kemeja);Others (Monday - Friday / 08.00-16.00) (Saturday 08.00 - 13.00),4 days,1- 50 pekerja,Industri Berat/Mesin/Peralatan,"Minimal D3 di Design GrafisMaksimal usia 28 TahunDapat Bekerja Dalam TeamJujur, Disiplin, Teliti, Proaktif, Bertanggung Jawab & Memiliki InisiatifMampu Bekerja Dalam TekananBersedia Kerja Shift dan LemburMahir Dalam Corel Draw, Photoshop & illustrator",
296,Apoteker Industri,Bandung,IDR,Supervisor/Koordinator,1 tahun,Sarjana (S1),Penuh Waktu,"Layanan Kesehatan,Farmasi",Kasual (contoh: Kaos),29 days,1- 50 pekerja,Umum & Grosir,"Memahami/mau belajar Manajemen mutu CPOTB dan HALAL.Memiliki STRA dan/atau;SIPA.Mampu/mau belajar melaksanakan fungsi pendaftaran produk jadi secara efektif, terutama dalam hal pengisian formulir kelengkapan pendaftaran.Mampu berpartisipasi dalam pengembangan spesifikasi bahan bahan awal maupun produk jadi, metode analisis, prosedur pengujian untuk bahan awal, produk jadi dan kemasan.Mampu melakukan pengemasan produk dengan bahan pengemas yang sesuai.Mampu merancang dan melakukan uji stabilitas dan berbagai perhitungan untuk menentukan kondisi penyimpanan produk yang tepat serta waktu kadaluarsa produk.Goal Oriented.Fresh Graduate dipersilakan untuk melamar.Nilai Plus:Berpengalaman selama minimal 1 tahun dalam menerapkan CPOTB atau lebih.Minimal lulusan S1Berjiwa tegas, bisa memimpin sekaligus pandai bekerjasama dengan tim.Memiliki etos kerja yang baik dan berkomitmen tinggi.Siap Bekerja Keras.Mampu berpartisipasi dan berkontribusi dalam pengembangan formula obat tradisional.Memiliki ketertarikan dalam racik meracik obat tradisional.Berdomisili / bersedia ditempatkan di Bandung.",
297,Guru Teknik Kendaraan Ringan,Banyuwangi,IDR,Pegawai (non-manajemen & non-supervisor),1 tahun,Sarjana (S1),Penuh Waktu,"Pendidikan/Pelatihan,Pendidikan",,,,Pendidikan,"Lowongan PekerjaanGuru Teknik Kendaraan RinganKualifikasi :Pendidikan lulusan S1 sesuai dengan jurusanMampu menguasai komputerSanggup bekerja dengan timKreatif, inovatif dan bertanggung jawabSabar, telatenBerdedikasi tinggiDisiplin, dan mempunyai komitment yang tinggi",
298,Business Development Manager,Sumatera Utara,IDR,Manajer/Asisten Manajer,5 tahun,"SMA, SMU/SMK/STM, Sertifikat Professional, D3 (Diploma), D4 (Diploma), Sarjana (S1)",Penuh Waktu,"Penjualan / Pemasaran,Pemasaran/Pengembangan Bisnis",,,1- 50 pekerja,Makanan & Minuman/Katering/Restoran,# must have good experiences in above field# excellent team worker and good decision making# work place in Medan and must attend Online also Offline interview# multi task person with good attitude# experiences in online also offline businesses# do not apply again if you have previously done so# must be able to demonstrate excellent communication skills,9600000.0
299,ADMINISTRATION HEAD DEALER (ADH),Jakarta Selatan,IDR,Supervisor/Koordinator,5 tahun,Sarjana (S1),Penuh Waktu,"Penjualan / Pemasaran,Penjualan Ritel","Asuransi kesehatan;Waktu regular, Senin - Jumat;Business, Uniform",29 days,501 - 1000 pekerja,Automobil/Mesin Tambahan Automotif/Kendaraan,"PT Hyundai Mobil Indonesia adalah Group Dealer merk mobil Hyundai yang sedang berkembang di Indonesia. Saat ini kami sedang mencari tenaga professional yang siap berkembang bersama kami dan dapat membantu perkembangan bisnis perusahaan di masa depan dengan kualifikasi sebagai berikut :Pendidikan :Pendidikan S1 Jurusan Ekonomi / Akuntansi / PajakUsia :Maksimal 40 TahunPersonality :· Jujur & Memiliki etos kerja yang baik· Memiliki kemampuan komunikasi yang baik· Percaya Diri· Sigap, Cekatan dan bertanggung jawab· Ulet dan memiliki semangat kerja yang baik· Memiliki kemampuan leadership yang baikKhusus :· Berpengalaman minimal 3 tahun sebagai Administration Head / ADH dari Dealer Otomotif Roda Empat (Mobil)· Berpengalaman Mengkoordinasi, mengontrol dan memonitor kegiatan administrasi dan keuangan yang terkait dengan penjualan unit, service dan part serta aktivitas penunjang kegiatan operasional cabang sehingga dapat berjalan sesuai kebijakan perusahaan· Mengetahui bisnis proses Dealer Otomotif Roda Empat· Lebih diutamakan yang dapat bergabung secepatnya· Bersedia ditempatkan di seluruh cabang PT Hyundai Mobil Indonesia· Lebih disukai yang mengerti Perpajakan· Kebutuhan posisi di Cabang Sunter dan BaliDeskripsi Pekerjaan :· Fungsi Administrasi & Keuangan atas Unit , Service dan Spare part : 1. Membuat laporan dan mengkontrol Penjualan Unit, Service dan Spare part2. Membuat laporan dan mengkontrol Pembelian Unit dan Spare part3. Membuat laporan dan mengkontrol Piutang Unit, Service dan Spare part4. Membuat laporan dan mengkontrol Stock Unit5. Mengkoordinasi dan memonitor penerbitan Invoice atas penjualan Unit, Service dan Spare part6. Mengkoordinasi dan memonitor penerbitan dan penagihan Invoice ke pihak ketiga7. Mengkoordinasi dan memonitor proses pengajuan surat-surat kendaraan (BBN)8. Membuat cashflow Mingguan dan Bulanan9. Mengajukan usulan dana operional cabang10. Memverifikasi dokumen sesuai standar dan prosedur yang berlaku, termasuk yang terkait dgn perpajakan11. Membuat laporan ke pusat terkait cashflow, penjualan dan stock12. Memberikan masukan sebagai upaya peningkatan kinerja perusahaan· Personnel & General Affairs1. Memverifikasi pengajuan insentif, uang makan dan transport2. Koordinasi dgn pihak terkait (GA) dalam mengawasi dan memelihara Asset yang bergerak maupun tak bergerak3. Koordinasi dgn pihak terkait (GA) dalam monitoring dan perpajangan ijin-ijin atau surat-surat kendaraan4. Mengkoordinasi dan memonitor aktivitas masseger, OB dan secuity5. Mengelola adminitrasi kepegawaian cabangPENTING : SELURUH PROSES SELEKSI DAN TAHAPAN PENERIMAAN KARYAWAN PT HYUNDAI MOBIL INDONESIA TIDAK DIPUNGUT KOMPENSASI APAPUN",6680500.0
300,Senior Legal Corporate,Surabaya,IDR,Supervisor/Koordinator,5 tahun,Sarjana (S1),Penuh Waktu,"Pelayanan,Pengacara / Asisten Legal","Asuransi kesehatan;Parkir;Business, Uniform;Mondays-Saturdays",23 days,201 - 500 pekerja,Manufaktur/Produksi,"Provide legal opinion, legal strategic adviceEnsuring the compliance and renewals of all the licenses, contracts, agreements and permits of the companyManaging the legal implications of new project of the companyReviewing and understanding the contracts and agreements of the company to correct the possible problemsCollect and maintain all legal documentsPreferable had worked at the Lawyer's Office Requirements: Maximum age 45 years oldCandidate must possess at least a Bachelor's Degree, LAW or equivalentRequired language EnglishAt least 5 years of working experience in managerial level is required for this position, but not from HRD supervisor/managerApplicants must be domiciled in Surabaya and around JAWA TIMURPreferably Manager / Assistant Managers specializing in Corporate Law/Legal Services or equivalent",
301,Customer Service Development Program (Penempatan Balikpapan),Balikpapan,IDR,Lulusan baru/Pengalaman kerja kurang dari 1 tahun,,Sarjana (S1),Penuh Waktu,"Pelayanan,Layanan Pelanggan","Asuransi Gigi;Asuransi kesehatan;Pinjaman;Waktu regular, Senin - Jumat;Formil (contoh: Kemeja + Dasi)",20 days,Lebih dari 5000 pekerja,Perbankan/Pelayanan Keuangan,"Candidate must possess at least a Bachelor's Degree, any field.Required skill(s): Customer Service Orientation, Good Communication Skill, Networking, Agile.Required language(s): English, Bahasa IndonesiaNo work experience required.Full-Time position(s) available.",
302,Logistic Manager,Jawa Barat,IDR,Manajer/Asisten Manajer,3 tahun,Tidak terspesifikasi,Penuh Waktu,"Pelayanan,Logistik/Rantai Pasokan","Tip;Asuransi kesehatan;Parkir;Waktu regular, Senin - Jumat;Bisnis (contoh: Kemeja)",21 days,501 - 1000 pekerja,Makanan & Minuman/Katering/Restoran,"Job Description:Monitors the whole process from warehousing to the delivery of goods from each of our distribution centersAs well as ensuring the standard procedures are implemented wellBe able to improve and enhance logistics systems. Requirements:Bachelor Degree/Master Degree in any majorMinimal 5 years experience as Logistic Supervisor/Logistic Manager, , preferably in F&B retail or FMCGFamiliar with WMS & SAP, routing, budgetingPlacement Cimahi, Bandung",
303,Field Collector Area PALEMBANG,Palembang,IDR,Pegawai (non-manajemen & non-supervisor),2 tahun,"SMA, SMU/SMK/STM, Sertifikat Professional, D3 (Diploma), D4 (Diploma), Sarjana (S1)",Kontrak,"Akuntansi / Keuangan,Perbankan / Jasa Finansial ","Olahraga (contoh: pusat kebugaran);Parkir;Waktu regular, Senin - Jumat;Kasual (contoh: Kaos)",28 days,201 - 500 pekerja,Perbankan/Pelayanan Keuangan,PersyaratanUsia 18 - 35 tahunDiutamakan memiliki pengalaman minimal 2 tahun sebagai collectionMemiliki kendaraan roda dua dan SIM C yang masih berlakuMengenal daerah PALEMBANG dengan baikKemampuan komunikasi dan negosiasi yang baikMinimal SMA/SMKTanggung JawabMelakukan aktivitas penagihan kepada konsumen di lapanganPengambilan tagihan pembayaran ke konsumenMembuat laporan kunjunganMencapai target yang telah ditentukan,2760000.0
304,Tentor,Pekalongan,IDR,Pegawai (non-manajemen & non-supervisor),1 tahun,"SMA, SMU/SMK/STM, Sertifikat Professional, D3 (Diploma), D4 (Diploma), Sarjana (S1)",Penuh Waktu,"Pendidikan/Pelatihan,Pendidikan",Tip;Pakaian Sopan dan Rapi;Fleksibel,,,Pendidikan,"Kualifikasi:Mampu mengajar sesuai kebutuhan siswaMemiliki kendaraan pribadiDisiplin dan bertanggungjawabSemua jurusan, diutamakan PGSD/MTK/IPASarjana/MahasiswaDeskripsi Pekerjaan :Memberi materi pembelajaran Semua Mapel SD SMP SMAMemonitoring perkembangan belajar anak didik.Memberikan pengajaran yang inovatif.Memberi motivasi belajar pada anak didik",
305,Sales Executive,Jember,IDR,Pegawai (non-manajemen & non-supervisor),1 tahun,"SMA, SMU/SMK/STM, Sertifikat Professional, D3 (Diploma), D4 (Diploma), Sarjana (S1)",Penuh Waktu,"Penjualan / Pemasaran,Penjualan - Korporasi","Asuransi kesehatan;Waktu regular, Senin - Jumat;Bisnis (contoh: Kemeja)",28 days,1- 50 pekerja,Kesehatan/Medis,"Bertanggung jawab atas target yang diberikanMemasarkan produk alat kesehatan yaitu alat-alat Radiology, Instrument Bedah, alat-alat lab kepada customer atau Rumah SakitMembuat plan dan laporan harian kepada atasan yaitu Sales Manager sebagai evaluasiMenjalankan pekerjaan secara profesional, jujur dan bertanggung jawabKualifikasiHarus memiliki pengalaman minimal 1 tahun dalam menjual alat kesehatan (Radiology, Lab dan Instrument Surgery)Penempatan untuk area Kediri, Malang, Jember, Bandung, BogorMemiliki kemampuan komunikasi dan interpersonal yang bagusMampu bekerja dengan targetMampu bekerja secara individu maupun dalam tim",
306,Legal Officer,Jakarta Raya,IDR,Pegawai (non-manajemen & non-supervisor),1 tahun,Sarjana (S1),Penuh Waktu,"Pelayanan,Pengacara / Asisten Legal","Asuransi Gigi;Tip;Asuransi kesehatan;Pinjaman;Olahraga (contoh: pusat kebugaran);Parkir;Waktu regular, Senin - Jumat;Bisnis (contoh: Kemeja)",12 days,Lebih dari 5000 pekerja,Kayu/Fiber/Kertas,"Must possess Bachelor’s Degree in Law from reputable university with at least  1-2 years working experience as commercial in house lawyer or law firm.Understand Indonesian and Global Contract Law.Experience in provide legal advice, legal drafting and reviewing legal documentsExperience working in a complex organizational set upSpeak Mandarin is a plusPlacement : Thamrin Office, Jakarta Pusat",
307,SMT Technician,Batam,IDR,Supervisor/Koordinator,3 tahun,"Sertifikat Professional, D3 (Diploma), D4 (Diploma)",Kontrak,"Manufaktur,Manufaktur","Tip;Asuransi kesehatan;Waktu regular, Senin - Jumat;Bisnis (contoh: Kemeja);BPJS KESEHATAN & BPJS KETENAGAKERJAAN",29 days,1001 - 2000 pekerja,Elektrikal & Elektronik,"Role:An SMT Technician will be the person primarily responsible for electronics assembly. This position will develop and execute operational procedures for the SMT lines that deliver quality, cost, efficiency, and safety results.Responsibilities:Evaluates, implements, and monitors processes and operating systems for the manufacture of surface mount and mixed technology electronic assembliesResponsible for establishing and evaluating Printed Circuit Board Assembly (PCBA) manufacturing processesMaintain manufacturing procedures for all PCBA manufacturing processes and provide recommendations and rationalizations for improvementsSupport prototypes, expedites and DFM recommendationsProvide programming and technical support for the SMT process equipment used in PCBA manufacturing: marking, solder paste printing, solder paste inspection, pick and place, and thermal profile monitoring systemCreates, edits, and maintain requisite documentationEnsure traceability of components and assembliesResponsible for preventative maintenance, troubleshooting, and repair of SMT equipmentMonitors and improves the efficiency, output, and safety of manufacturing processes through observation and measurement as well as by collecting and interpreting dataWorks closely with Purchasing, Quality, and Engineering for quality control of raw materials and componentsAssumes responsibility for safety/environmental compliance and performance of processes Participates in the process of evaluating and purchasing new equipment and upgrades to existing equipment.Having skill and knowledge with machine such as : SMT Yamaha, SMT Samsung, SPI Kohyoung, AOI Vitrox, BTU Reflow, Hans Laser , KIC Profiler, JTU wave solder, LM Router, ANDA Coating.Competency:To be able to establish process flow, equipment and methodTo be able to prepare process documentationExperience:Technical Degree (EE, ME, or Engineering Technology), certified Professional SMT designation a plus, or equivalent experienceMinimum of 3 years in a manufacturing setting demonstrating increased responsibility. SMT process preferredWorking experience with lead free, no clean processesAbility to define requirements for equipment and process controlHands on experience with soldering and prototyping circuitsEducational Qualifications:Diploma / Bachelor’s degree from reputable universityDomicile at Batam",
308,Campus Director's Office Section Head (Semarang Campus),Semarang,IDR,Supervisor/Koordinator,4 tahun,"Sarjana (S1), Diploma Pascasarjana, Gelar Professional, Magister (S2)",Penuh Waktu,"Pendidikan/Pelatihan,Pendidikan","Tunjangan Pendidikan;Asuransi kesehatan;Parkir;Waktu regular, Senin - Jumat;Bisnis (contoh: Kemeja)",25 days,2001 - 5000 pekerja,Pendidikan,"Responsible to coordinate and ensure effective implementation of operation license validity process according to accreditation period for all study programs and accomplishments in BINUS at Semarang CampusJOB REQUIREMENTSCandidate must possess at least Bachelor's Degree in any field.At least 4 years of working experience in the related field is required for this position.Have abilities to lead a teamHave experience in Administration, ICT, People skills, Numerical skillsWilling to be located in Semarang",
309,Consulting - Cyber Forensic - Manager,Jakarta Raya,IDR,Tidak Terspesifikasi,,Tidak terspesifikasi,,"Komputer/Teknologi Informasi,IT-Admin Jaringan/Sistem/Database","Asuransi Gigi;Asuransi kesehatan;Penglihatan;Waktu regular, Senin - Jumat;Formil (contoh: Kemeja + Dasi);Other benefits are applied to certain level.",28 days,2001 - 5000 pekerja,Akunting / Audit / Layanan Pajak,"At PwC South East Asia Consulting, we help businesses to work smarter and grow faster. We partner with our clients to build effective organisations, innovate and grow, reduce costs, manage risk and regulation and, leverage talent. Our aim is to support businesses in designing, managing and executing lasting beneficial change.PwC’s South East Asia Consulting practice provides a comprehensive range of professional services and experience to deliver large scale, cross territory transformation projects, wherever our clients need us to be – from strategy through to execution.Within Risk Consulting, the Forensic Services practice combines financial, accounting and regulatory knowledge with deep technical and industry experience to assist our clients in confronting the regulatory, legal and commercial challenges as a result of unplanned events.We apply technology-based solutions to information management and e-discovery demands, advise clients on ways to mitigate risk, improve corporate compliance and key business processes. We utilize forensic technology, tools and processes to effectively and efficiently manage information to support investigations and dispute resolution. We serve as expert witnesses addressing critical business issues in litigation and regulatory proceedings.Responsibilities:Involve in conducting fraud and other forensic investigations as well as providing litigation support in commercial dispute.Leverage your strong technical skills on a variety of Computer Forensics eDiscovery projects to provide clear and concise details of progress and finding.Forensically obtaining data from computers, servers and mobile devices, ensuring the evidential integrity of the data.Demonstrate considerable knowledge and analytical abilities through, leading the development of quantitative data analysis and data mining solutions in support of forensic investigations, litigation and/ or in responses to regulatory compliance-related enquiries, emphasising the development of database driven reports and analyses.Drafting reports and presentations to explain the findings.Researching new products, tools and techniques to assist with streamlining internal processes and methods of presenting results to clients.Consulting with clients on business issues, often explaining complex technical concepts to non-technical people.Conduct research into project-related issues.Maintain forensic certifications and ability to provide expert testimony.Ability to manage multiple concurrent investigations and projects with minimal supervision.Maintain an organised workspace and office.Requirements:BA/MS degree in Computer Science/ Engineering, Information Technology/ Systems or Information Security related fields.Minimum 6 - 8 years of relevant experience in consulting/ advisory work, specifically in areas of digital forensics or law enforcement will be favourably considered.EnCase Certified Examiner (EnCE), Certified Fraud Examiner (CFE), and / or Certified Information Systems Security Professional (CISSP) certifications preferred.Knowledge and experience in the following areas required: computer & mobile forensics, electronic discovery, memory, network and application forensics, network protocols & security, databases, Python, Shell scripting, Java, JavaScript, PHP.Experience delivering computer forensics, eDiscovery, information security, malware detection and analysis services to clients.Experience with the following products/ tools: Encase, FTK, Cellebrite, Oxygen Forensics, Nuix, Relativity.Sound technical understanding of Windows, Macintosh, and Linux operating systems, file systems and networks.Sound technical understanding of computer system hardware, storage devices, including hard drives, personal storage devices, tape systems and other archiving systems.Creative problem-solving abilities.A self-driven learner with the ability to quickly learn and apply new tools and techniques.A natural curiosity to identify, investigate and explain trends and patterns.Strong attention to detail.High personal integrity.Thorough experience identifying and addressing client needs; developing and sustaining deep client relationships using networking, negotiation and persuasion skills to identify and sell potential new service opportunities; preparing and presenting complex written and verbal materials; and defining resource requirements, project workflow, budgets, billing and collectionFlexibility/desire to travel as it is a required element of this position-",
310,"Teknisi Elektromedik (Palembang, Jambi, Bangka Belitung, Manado, Papua, Bandung)",Palembang,IDR,Pegawai (non-manajemen & non-supervisor),1 tahun,"Sertifikat Professional, D3 (Diploma), D4 (Diploma), Sarjana (S1)",Penuh Waktu,"Layanan Kesehatan,Farmasi",Tip;Asuransi kesehatan;Bisnis (contoh: Kemeja),29 days,501 - 1000 pekerja,Kesehatan/Medis,"KualifikasiUsia Maksimal 40 TahunPendidikan minimal D3 Elektromedik (ATEM)Fresh Graduate atau memiliki pengalaman dibidang alat - alat kesehatan boleh melamar, diutamakan sebagai Teknisi Alat Kesehatan atau mengerti tentang kelistrikan.Diutamakan Memiliki sertifikasi STR (Surat Tanda Register Electromedic)Coverage area untuk Rumah Sakit.Memiliki kendaraan bermotorDisiplin, teliti & LoyalitasMohon lampirkan CV & Surat Lamaran, pada aplikasi Jobstreet",
311,Group Policy Service Internship,Jakarta Selatan,IDR,Lulusan baru/Pengalaman kerja kurang dari 1 tahun,,"Sertifikat Professional, D3 (Diploma), D4 (Diploma), Sarjana (S1)",Magang,"Lainnya,Lainnya/Kategori tidak tersedia","Tip;Asuransi kesehatan;Waktu regular, Senin - Jumat;Monday - Friday : Casual Smart",21 days,1001 - 2000 pekerja,Asuransi,"Responsibilities:Alteration Process:Preparation to sending medical card alterationMonitoring and follow up report medical card for Alteration processManual AML submission for alteration processMonitoring group email & dispatcherCreate manual invoice alterationNew Business:Preparation to sending medical card for New Business & RenewalMonitoring and follow up report medical card for New Business & RenewalManual AML submission for new business processCreate manual policyWelcome Letter submission to ITBilling & Collection:Create premium receipt letter for sending to clientCreate reminder notification to client for outstanding premiumCreate receipt & billing excess claim base on request from clientRequirements:Work fast, neat and thoroughComputer literate: word, excel Pleasant personality, good attitude and good team working",
312,Chief Steward,Semarang,IDR,Manajer/Asisten Manajer,4 tahun,"Sertifikat Professional, D3 (Diploma), D4 (Diploma), Sarjana (S1)",Kontrak,"Hotel/Restoran,Makanan/Minuman/Pelayanan Restoran",,,,,"PERSYARATAN:Usia maksimal 32 tahunPendidikan terakhir Diploma dan/atau Sarjana Jurusan Tata BogaMemiliki pengalaman sebagai Chief Steward, sekurang-kurangnya selama 4 (empat) tahunJujur, teliti, tegas, dan bertanggung jawabMemiliki kemampuan leadership yang baikBersedia mengikuti seluruh rangkaian proses seleksi, termasuk pemeriksaan kesehatan.Bersedia ditempatkan bekerja di :Kabupaten Badung, BaliKota Semarang, Jawa TengahKabupaten Serang, BantenKabupaten Simalungun, Sumatera UtaraTANGGUNG JAWAB PEKERJAAN :Bertanggung jawab untuk menjaga kualitas, sanitasi dan kebersihan seluruh alat dan perlengkapan yang digunakan pada area kitchen, restaurant, banquet dan perlengkapan makan lain nyaMelakukan koordinasi dengan steward/dishwasher dalam menjaga kebersihan seluruh departemen F&B, peralatan dapur dan makan dan area restoranMelakukan pelatihan kepada steward agar meminimalisir kerusakan pada saat melakukan pembersihanMenguasai dan memahami cara-cara penggunaan bahan kimia untuk membersihkan segala perlengkapan sesuai dengan standarMelakukan pengecekan dan pencatatan secara rutin terhadap kelengkapan dan peralatan dapurMelakukan koordinasi dengan Chef atau Restaurant Manager terkait kelengkapan dan peralatan dapur",
313,IT Programmer,Jakarta Raya,IDR,Supervisor/Koordinator,3 tahun,Sarjana (S1),Kontrak,"Komputer/Teknologi Informasi,IT-Perangkat Lunak","Bisnis (contoh: Kemeja);BPJS;Monday- Friday (8AM-5PM), Saturday (8AM-13:00 PM)",23 days,51 - 200 pekerja,Produk Konsumen/Barang konsumen yang bergerak cepat,Kualifikasi :Pendidikan Minimal S1 (Teknik Informatika/Sistem Informasi)Memiliki pengalaman kerja minimal 3 tahun sebagai developer (khususnya SAP)Memahami serta dapat melakukan development programMenguasai bahasa pemrograman (khususnya SAP)Mampu mengoperasikan Sistem SAPMampu menganalisa dan memecahkan masalahMampu bekerja secara team maupun individuDeskrispi Pekerjaan :Memahami SAP Business OneMenguasai SQL QueryTerbiasa menggunakan Crystal ReportMelakukan pengumpulan data yang dibutuhkan saat proses developmentMelakukan pelatihan hasil development terhadap user yang bersangkutanMembantu user menyelesaikan permasalahan terkait modul,
